Occupation (Kingston),Total,Male,Female
Total labour force population aged 15 years and over by occupation - National,83430,41865,41565
Occupation - not applicable,1850,960,890
All occupations,81580,40900,40675
0 Management occupations,7745,4865,2880
"1 Business, finance and administration occupations",11330,2995,8335
2 Natural and applied sciences and related occupations,4595,3665,930
3 Health occupations,8050,1885,6170
"4 Occupations in education, law and social, community and government services",14705,6295,8410
"5 Occupations in art, culture, recreation and sport","2,360",995,"1,365"
6 Sales and service occupations,20375,8830,11550
"7 Trades, transport and equipment operators and related occupations",9575,9120,455
"8 Natural resources, agriculture and related production occupations",1165,910,260
9 Occupations in manufacturing and utilities,1675,1355,325