Household and dwelling characteristics,
Total - Occupied private dwellings by structural type of dwelling - 100% data,67915
Single-detached house,39180
Apartment in a building that has five or more storeys,8690
Other attached dwelling,19740
Semi-detached house,4365
Row house,4245
Apartment or flat in a duplex,2100
Apartment in a building that has fewer than five storeys,8895
Other single-attached house,145
Movable dwelling,300
Movable dwelling,300
Total - Private households by household size - 100% data,67915
1 person,19870
2 persons,25525
3 persons,10140
4 persons,8360
5 or more persons,4015
Number of persons in private households,156465
Average household size,2.3